address,distributed_amount
0x35462271b5456597b60c0024e8cb3406fcf9cc09,1646.08
0x6021e805c94a2b9b1662ec4194353b81b4b2bdc8,1632.30
0xbf76c69655d95fac6ee85606458578dc975b1ef9,1617.09
0x11535a34a494612f645154e8fd9b73cd85ac8b72,1615.86
0x40d769dca9e7dd0f3e47297cd0ed952da55550a4,1598.49
0x2771cc14865ca8aaa32e99a30a40c6632c1888a0,1574.91
0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,1554.04
0xbbee8a8bb23e074bc501257793ca58414bdd1a8c,1553.95
0xbfdcd88a9eeb3e10c78ce24fdad085701ca6cd57,1553.87
0x125fd28add8ee82a5c0e4d6a5f6883202ebb1bbf,1552.04
0xf924ff0f192f0c7c073161e0d62ce7635114e74f,1546.47
0x2001f7d1f43b7bb42c4b74b7fc5c6fc68e6594d7,1539.38
0x6b6150279f493205d6ae995d0176593721bd84c1,1524.21
0xf8abd12b3e13f0c4a8f2985e3189ff77014ac1d0,1493.95
0x967311f0f14856fba9616349a990c1096ad529d9,1493.90
0xcd5bd5c7ccac67c0e44bf9f8e83201baeb99a596,1485.09
0xad2efa3060b82aa94eba9d566cd6f566cd44e449,1478.60
0x6a30fc4633d0d1e07933bbfad1df3bb2cae399c8,1467.69
0xbb030a0408edc41f3c61ba3f132c06e93eda68f4,1465.78
0x5b795fd28a8f48150ec5646d23fdc5046f470970,1465.42
0x82527dfd9c138d53d4d6fde2d4dc82c3d23de1d8,1453.30
0x41148f77fbb3615d52fd49c927523efb719a3288,1452.57
0x17a80ba32fcec81949a1d51d378f89cff51782ed,1450.81
0xf49900b04ea304ee05e6dfb24c6c7d66df26a88e,1434.31
0x20b8686faafa2d0d918633177e516b3ab80d4005,1428.47
0x785e865e4b561445ca283b48e1452baed8486646,1420.20
0xaf580ea974019033a89523c8e4a1a08f7bee255a,1418.14
0x4567e49cc18eb36278c665da47eac632790dd265,1416.84
0xd452dbf163a7fb5f08654dcfd36e0c9832b82293,1404.73
0xe9033f441d7205ab09077dbca82f4b6bb358a07d,1379.27
0xb5c327ef90ec4ed329321d0f5f30294289b94560,1368.58
0x284e45311b22f2707bf17c96fb33ddfe593891f1,1359.05
0x8cdc98f670c67e81c9bb43645499f961d00ae35d,1357.12
0xb8948d49eb11729bf899d6ce598e30abe9e92fec,1354.38
0x015039196efaac531af7381507864b2f2b27a209,1345.66
0x18f87037ff5e16c69199f1a8b54cc3a9d05f7889,1345.26
0xaac970267d6fcd1630fffd34d118c9a4c0f1b296,1324.95
0xc5d4ec9300be6da89a3db305c415c7cd3cbb7e8e,1320.62
0x938f0653e0ba6ae15e0a527bafe8454a7e2d2d3b,1316.49
0x42e011d29e13f4987d8eaa49f3b1be727d120d59,1302.94
0x8a9b5c9dc0a8f940d62d8df5d557d4af45ef4503,1289.02
0xca5e9b660665846c1aed199170461783e3a6826a,1285.49
0x15ca6ad5783ecc8c5baaf3339041104d9afba684,1282.50
0xae49291f49c6f2c853c08de5f2d03d5d5c5d51b7,1279.87
0x7235b65b3525faf77fb450f8239641177e2f1cb7,1279.47
0x3e4507b458ad19363d512e290300d90883a067cb,1276.15
0x45d198c91f196d29fca0cf9eb77a371dd45a38ba,1270.84
0x0406d3e59eac4fbf2d861301a957ac427dc5031b,1269.21
0x0479326c87da7a60d2b84f8ec73ea60f8df445c9,1268.91
0xba47a8e60421d170cdf630f31a9dbf12d41763e6,1264.48
